,Land,Water,Legs,2Legs,4Legs,6Limbs,8MoreLimbs,Herbivore,Carnivore,Fly,Mammal,Exoskeleton,Nocturnal,Eggs,Domesticated,Rodent,Hairy,Work,Equine,Hooves,Vertebrate,Shear,Europe,Asia,Africa,Australia,Americas,NorthAmerica,SouthAmerica,Baleen,2wings,Grazer,Tusks,Brain,Pet,Primate,Bovine,Tree,Blowhole,Hump,EatInsect,Feline,Eusocial,Spotted,Striped,Arctic,Pacific,Atlantic,Freshwater,Social,Horns,Canine,Tunneling,Smell,Spiny,Bird,Elytra,FastestLand,Jump,Proboscis
goose/swan,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,Y,?,N,?,N,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,?,N,Y,?,N,N,?,N,N,?,N,N,N,N,N,N,N,?,?,N,N,N,N,N,Y,?,N,?,N
hedgehog,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N,?,N,N,N,Y,N,Y,Y,Y,?,N,N,N,N,N,?,N,Y,?,N,N,?,N,N,Y,N,N,N,N,N,N,N,N,?,N,N,?,N,Y,N,?,N,?,N
hyena,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,N,?,N,N,N,Y,N,N,?,Y,N,N,N,N,N,N,?,N,Y,N,N,N,?,N,N,N,N,N,N,N,N,N,N,N,?,N,N,N,N,N,N,?,N,?,N
leopard,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,N,?,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,?,N,Y,N,N,N,?,N,N,?,Y,N,Y,N,N,N,N,N,?,N,N,N,N,N,N,?,N,?,N
lizard,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,?,N,N,N,Y,N,?,?,?,?,?,?,?,N,N,?,N,Y,Y,N,N,?,N,N,?,N,N,N,N,N,N,N,N,?,N,N,?,N,N,N,?,N,?,N
manatee,N,Y,N,N,N,N,N,Y,?,N,Y,N,N,N,N,N,?,N,N,N,Y,N,?,?,?,?,?,?,?,N,N,?,N,Y,N,N,N,?,N,N,?,N,N,N,N,?,?,?,?,?,N,N,N,N,N,N,?,N,?,N
mole,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N,?,N,N,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,?,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,?,N,N,Y,N,N,N,?,N,?,N
porcupine,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,?,N,?,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,?,N,Y,?,N,N,?,N,N,?,N,N,N,N,N,N,N,N,?,N,N,?,N,Y,N,?,N,?,N
rhinoceros,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,?,N,?,Y,Y,N,N,?,Y,N,N,N,N,N,N,?,N,Y,N,N,N,?,N,N,?,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,?,N,?,N
skunk,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,?,N,Y,N,N,N,?,N,N,?,N,N,?,N,N,N,N,N,?,N,N,N,Y,N,N,?,N,?,N
termite,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,?,?,?,?,?,?,?,N,N,?,N,Y,N,N,N,?,N,N,?,N,Y,N,N,N,N,N,N,?,N,?,?,N,N,N,?,N,?,N
Groundhog/Woodchuck/Prairie Dog,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,?,N,Y,N,N,N,?,N,N,?,N,N,N,N,N,N,N,N,?,N,?,Y,N,N,N,?,N,?,N
worm,Y,N,N,N,N,N,N,Y,Y,N,N,N,?,Y,N,N,N,N,N,N,N,N,?,?,?,?,?,?,?,N,N,?,N,?,N,N,N,?,N,N,?,N,N,N,N,N,N,N,N,?,N,?,Y,N,N,N,?,N,?,Y
